name,year,quarter,count,time,value
JavaScript,2016,1,366252,2016_1,1.0
Python,2016,1,169875,2016_1,0.802091580605027
Java,2016,1,153067,2016_1,0.6881897569722858
PHP,2016,1,111326,2016_1,1.0
C_plus_plus,2016,1,78175,2016_1,0.7614110404600867
Ruby,2016,1,65454,2016_1,1.0
C_sharp,2016,1,60950,2016_1,0.7307219205972175
Go,2016,1,53316,2016_1,0.34542842578432736
C,2016,1,49224,2016_1,0.7298705966930266
TypeScript,2016,1,22816,2016_1,0.0
Objective-C,2016,1,21569,2016_1,1.0
Swift,2016,1,15990,2016_1,0.6943940081706763
Scala,2016,1,13259,2016_1,0.8832305000460448
Rust,2016,1,9547,2016_1,0.5970503810749282
Lua,2016,1,6559,2016_1,0.5892778023925564
Perl,2016,1,5446,2016_1,0.7261954261954262
R,2016,1,3235,2016_1,0.449537750385208
Kotlin,2016,1,3213,2016_1,0.03413078149920255
Dart,2016,1,1689,2016_1,0.043716869348300595
JavaScript,2016,2,347289,2016_2,0.9337185160329677
Python,2016,2,167048,2016_2,0.7774954975334314
Java,2016,2,153396,2016_2,0.6905879608706428
PHP,2016,2,99835,2016_2,0.8572085394040311
C_plus_plus,2016,2,73039,2016_2,0.6574055323802195
C_sharp,2016,2,63137,2016_2,0.7771038344078725
Ruby,2016,2,62296,2016_2,0.9391604215231086
C,2016,2,59745,2016_2,1.0
Go,2016,2,56256,2016_2,0.41355021085314425
TypeScript,2016,2,31042,2016_2,0.1626849141681829
Objective-C,2016,2,20714,2016_2,0.9539033858097908
Swift,2016,2,17462,2016_2,0.7779164775306401
Scala,2016,2,12504,2016_2,0.8137029192374988
Rust,2016,2,8761,2016_2,0.5192517074136395
Lua,2016,2,6600,2016_2,0.5953330379559888
Perl,2016,2,5037,2016_2,0.6411642411642412
Kotlin,2016,2,3550,2016_2,0.08787878787878788
R,2016,2,3127,2016_2,0.4079352850539291
Dart,2016,2,1177,2016_2,0.011786716557530403
JavaScript,2016,3,332022,2016_3,0.880355682318646
Python,2016,3,172407,2016_3,0.8241210402220347
Java,2016,3,157255,2016_3,0.7187176534048664
PHP,2016,3,94768,2016_3,0.7942441036856625
C_plus_plus,2016,3,72084,2016_3,0.6380665019642785
C_sharp,2016,3,70834,2016_3,0.9403418730912793
Go,2016,3,56845,2016_3,0.42719773854210114
Ruby,2016,3,54611,2016_3,0.7911071724430231
C,2016,3,46995,2016_3,0.6726404436684811
TypeScript,2016,3,41353,2016_3,0.36660469899533266
Objective-C,2016,3,20975,2016_3,0.9679749838257494
Swift,2016,3,19967,2016_3,0.92005220154335
Scala,2016,3,11679,2016_3,0.7377290726586242
Rust,2016,3,9673,2016_3,0.6095219241809363
Lua,2016,3,7303,2016_3,0.6991581745680107
Kotlin,2016,3,4502,2016_3,0.23971291866028707
Perl,2016,3,4042,2016_3,0.4343035343035343
R,2016,3,2964,2016_3,0.34514637904468415
Dart,2016,3,1085,2016_3,0.006049267227938884
JavaScript,2016,4,323115,2016_4,0.849222993519703
Java,2016,4,176969,2016_4,0.8624203635939527
Python,2016,4,165105,2016_4,0.76059058440711
PHP,2016,4,93999,2016_4,0.7846882222829734
C_plus_plus,2016,4,75002,2016_4,0.6971568587744522
C_sharp,2016,4,64480,2016_4,0.8055861893450967
Go,2016,4,60774,2016_4,0.5182353213772649
Ruby,2016,4,52487,2016_4,0.7501878359373495
C,2016,4,48586,2016_4,0.7134897812467906
TypeScript,2016,4,46758,2016_4,0.47349893204651533
Swift,2016,4,21376,2016_4,1.0
Objective-C,2016,4,18922,2016_4,0.8572891956006038
Scala,2016,4,13439,2016_4,0.8998066120268902
Rust,2016,4,10993,2016_4,0.7401761852914975
Lua,2016,4,7701,2016_4,0.7579382661349875
Perl,2016,4,6763,2016_4,1.0
R,2016,4,3154,2016_4,0.41833590138674887
Kotlin,2016,4,2999,2016_4,0.0
Dart,2016,4,1484,2016_4,0.03093233551605862
JavaScript,2017,1,327032,2017_1,0.862914106355165
Java,2017,1,181956,2017_1,0.8987724694939717
Python,2017,1,180862,2017_1,0.8976830785560785
PHP,2017,1,101154,2017_1,0.8735989263613092
C_plus_plus,2017,1,81859,2017_1,0.8360131221902718
Go,2017,1,81566,2017_1,1.0
C_sharp,2017,1,70911,2017_1,0.9419748897183576
TypeScript,2017,1,57532,2017_1,0.6865754291590855
Ruby,2017,1,54218,2017_1,0.7835359392760128
C,2017,1,50531,2017_1,0.7634281606244223
Objective-C,2017,1,18164,2017_1,0.816422255768816
Swift,2017,1,17818,2017_1,0.7981162051747617
Scala,2017,1,14527,2017_1,1.0
Rust,2017,1,12395,2017_1,0.8789468474710482
Lua,2017,1,8184,2017_1,0.8292718948456653
Perl,2017,1,5322,2017_1,0.7004158004158004
Kotlin,2017,1,3977,2017_1,0.15598086124401914
R,2017,1,3663,2017_1,0.614406779661017
Dart,2017,1,1703,2017_1,0.044589959463673216
JavaScript,2017,2,354470,2017_2,0.9588183070136806
Java,2017,2,195843,2017_2,1.0
Python,2017,2,192622,2017_2,1.0
PHP,2017,2,104572,2017_2,0.9160722717896463
C_plus_plus,2017,2,89957,2017_2,1.0
Go,2017,2,77793,2017_2,0.9125770424950183
C_sharp,2017,2,73647,2017_2,1.0
TypeScript,2017,2,73380,2017_2,1.0
Ruby,2017,2,52950,2017_2,0.7591076348084074
C,2017,2,49965,2017_2,0.7488959638492348
Swift,2017,2,19223,2017_2,0.8778370403994553
Objective-C,2017,2,17091,2017_2,0.7585723528143196
Scala,2017,2,14356,2017_2,0.9842526936181969
Rust,2017,2,13618,2017_2,1.0
Lua,2017,2,9340,2017_2,1.0
Kotlin,2017,2,5502,2017_2,0.3992025518341308
Perl,2017,2,4912,2017_2,0.6151767151767151
R,2017,2,4664,2017_2,1.0
Dart,2017,2,1442,2017_2,0.028313065169940754
JavaScript,2017,3,295326,2017_3,0.7520919405238764
Java,2017,3,157680,2017_3,0.7218156371641421
Python,2017,3,156513,2017_3,0.6858365887399184
PHP,2017,3,85412,2017_3,0.6779829510152348
C_plus_plus,2017,3,80738,2017_3,0.813312543031874
Go,2017,3,65991,2017_3,0.6391167338616247
