name,star_rank,star_normalized_rank,push_rank,push_normalized_rank,pull_rank,pull_normalized_rank,issue_rank,issue_normalized_rank
JavaScript,1,9,1,3,1,11,2,16
Python,2,15,2,15,2,8,1,9
Go,3,8,7,4,4,6,5,6
Java,4,18,3,18,3,5,3,8
C_plus_plus,5,4,4,5,7,7,4,4
TypeScript,6,1,6,2,6,3,6,2
C,7,6,9,7,10,9,9,5
PHP,8,17,5,17,8,14,7,18
C_sharp,9,16,10,13,9,13,8,17
Swift,10,13,13,9,15,16,13,15
Ruby,11,14,8,16,5,10,10,14
Rust,12,7,14,12,13,12,14,10
Objective-C,13,10,17,10,16,17,16,13
Kotlin,14,3,12,14,14,4,15,7
Dart,15,2,16,1,12,2,11,1
Scala,16,5,11,6,11,1,12,3
Lua,17,12,19,19,18,18,17,12
Perl,18,11,15,11,17,15,19,19
R,19,19,18,8,19,19,18,11
