name,year,quarter,count,time,value
JavaScript,2016,1,1038895,2016_1,0.9369677946448876
Java,2016,1,372318,2016_1,0.7740162874962035
Python,2016,1,345664,2016_1,0.3741806180481009
Go,2016,1,193314,2016_1,0.14779093147532876
Objective-C,2016,1,190049,2016_1,1.0
Swift,2016,1,187539,2016_1,1.0
PHP,2016,1,143522,2016_1,0.4186274097146224
Ruby,2016,1,143412,2016_1,1.0
C_plus_plus,2016,1,141372,2016_1,0.18886178439819382
C,2016,1,125723,2016_1,0.8734774665042631
C_sharp,2016,1,66663,2016_1,0.152104676469027
TypeScript,2016,1,34815,2016_1,0.0
Rust,2016,1,24747,2016_1,0.3739089566268296
Scala,2016,1,23130,2016_1,0.9275066797918717
Lua,2016,1,18447,2016_1,0.9283984256736301
Perl,2016,1,7857,2016_1,1.0
Kotlin,2016,1,5385,2016_1,0.04611710860156211
R,2016,1,3074,2016_1,0.509010989010989
Dart,2016,1,1102,2016_1,0.02080706179066835
JavaScript,2016,2,1020398,2016_2,0.9110022095383553
Java,2016,2,397196,2016_2,0.8618741215276061
Python,2016,2,338792,2016_2,0.33494164401708426
Go,2016,2,190723,2016_2,0.11993161510919002
Swift,2016,2,181001,2016_2,0.9569032002900366
Objective-C,2016,2,175555,2016_2,0.9163482737524962
C_plus_plus,2016,2,149086,2016_2,0.2689365235895573
PHP,2016,2,134411,2016_2,0.37069092516205066
C,2016,2,133202,2016_2,1.0
Ruby,2016,2,125183,2016_2,0.8342441463969084
C_sharp,2016,2,70236,2016_2,0.24693455066617123
TypeScript,2016,2,50535,2016_2,0.14141523182382468
Rust,2016,2,27811,2016_2,0.5796293809587754
Scala,2016,2,24161,2016_2,1.0
Lua,2016,2,16660,2016_2,0.7931425976385105
Perl,2016,2,7062,2016_2,0.8052425281724644
Kotlin,2016,2,4458,2016_2,0.0
R,2016,2,4191,2016_2,1.0
Dart,2016,2,1203,2016_2,0.026113913408995375
JavaScript,2016,3,1012063,2016_3,0.8993017634193659
Java,2016,3,394172,2016_3,0.8511947224556967
Python,2016,3,336519,2016_3,0.32196286229815224
Go,2016,3,202609,2016_3,0.24773394406632043
Objective-C,2016,3,158695,2016_3,0.8190412429443745
C_plus_plus,2016,3,145704,2016_3,0.23382986453521565
Swift,2016,3,143701,2016_3,0.7110312778089054
PHP,2016,3,131857,2016_3,0.3572533462412661
C,2016,3,125370,2016_3,0.8675057517932061
Ruby,2016,3,114347,2016_3,0.7357126619686293
C_sharp,2016,3,73984,2016_3,0.34640904506608633
TypeScript,2016,3,48455,2016_3,0.12270380165884025
Rust,2016,3,25223,2016_3,0.4058681348193904
Scala,2016,3,21624,2016_3,0.8216144002250035
Lua,2016,3,19393,2016_3,1.0
Perl,2016,3,7290,2016_3,0.8610975012248897
Kotlin,2016,3,5520,2016_3,0.05283319237848863
R,2016,3,3101,2016_3,0.5208791208791209
Dart,2016,3,1380,2016_3,0.035414039512400165
JavaScript,2016,4,1023751,2016_4,0.9157090596687658
Java,2016,4,375310,2016_4,0.7845826770541245
Python,2016,4,351663,2016_4,0.40843478062261607
Go,2016,4,200382,2016_4,0.22378847994150727
C_plus_plus,2016,4,149526,2016_4,0.273503918617325
Swift,2016,4,138190,2016_4,0.6747041956428595
Objective-C,2016,4,133795,2016_4,0.6753315711103159
C,2016,4,130145,2016_4,0.9482846122614698
PHP,2016,4,128023,2016_4,0.3370811937031737
Ruby,2016,4,104381,2016_4,0.6450920663787224
C_sharp,2016,4,72205,2016_4,0.2991931631190615
TypeScript,2016,4,52967,2016_4,0.16329321170903727
Rust,2016,4,26004,2016_4,0.4583053578622264
Scala,2016,4,22294,2016_4,0.8687245113204893
Lua,2016,4,16878,2016_4,0.809642749016046
Kotlin,2016,4,6973,2016_4,0.1251181533257052
Perl,2016,4,5535,2016_4,0.43116119549240567
R,2016,4,2821,2016_4,0.3978021978021978
Dart,2016,4,1707,2016_4,0.05259562841530055
JavaScript,2017,1,1027412,2017_1,0.9208482718153309
Java,2017,1,394163,2017_1,0.8511629385298874
Python,2017,1,385523,2017_1,0.6017746613982596
Go,2017,1,245727,2017_1,0.7113533972022408
C_plus_plus,2017,1,172546,2017_1,0.5124617221155343
Swift,2017,1,145774,2017_1,0.7246959559671732
PHP,2017,1,137564,2017_1,0.3872800740803098
C,2017,1,132963,2017_1,0.9959568277168764
Objective-C,2017,1,114042,2017_1,0.5613276695947271
Ruby,2017,1,106502,2017_1,0.6643782677881337
C_sharp,2017,1,84226,2017_1,0.6182387600191093
TypeScript,2017,1,63257,2017_1,0.25586081574638814
Rust,2017,1,34072,2017_1,1.0
Scala,2017,1,22185,2017_1,0.8610603290676416
Lua,2017,1,17702,2017_1,0.872010293672419
Perl,2017,1,7326,2017_1,0.8699167074963253
Kotlin,2017,1,6098,2017_1,0.08158798069747773
R,2017,1,3393,2017_1,0.6492307692307693
Dart,2017,1,1220,2017_1,0.027007145859604877
JavaScript,2017,2,1083797,2017_2,1.0
Python,2017,2,455265,2017_2,1.0
Java,2017,2,436308,2017_2,1.0
Go,2017,2,250662,2017_2,0.7644162016279045
C_plus_plus,2017,2,174990,2017_2,0.5378315254061349
Swift,2017,2,151346,2017_2,0.7614251343067137
PHP,2017,2,137511,2017_2,0.38700122064146814
C,2017,2,129340,2017_2,0.9346663959940452
Ruby,2017,2,114171,2017_2,0.7341122982496022
Objective-C,2017,2,112618,2017_2,0.5531090923781931
C_sharp,2017,2,89488,2017_2,0.7578958543447104
TypeScript,2017,2,81656,2017_2,0.4213760097875173
Rust,2017,2,33516,2017_2,0.9626695313549081
Scala,2017,2,22355,2017_2,0.8730136408381381
Kotlin,2017,2,17537,2017_2,0.650664146062385
Lua,2017,2,16229,2017_2,0.7605207387223736
Perl,2017,2,6342,2017_2,0.628858402743753
R,2017,2,3778,2017_2,0.8184615384615385
Dart,2017,2,1263,2017_2,0.02926649852879361
JavaScript,2017,3,957893,2017_3,0.8232593919417828
Python,2017,3,374534,2017_3,0.5390277048169381
Java,2017,3,372886,2017_3,0.7760222063694987
Go,2017,3,218061,2017_3,0.4138791221788544
C_plus_plus,2017,3,165963,2017_3,0.4441272642341828
PHP,2017,3,125109,2017_3,0.32174951595252127
C,2017,3,118166,2017_3,0.7456354039788875
Swift,2017,3,101258,2017_3,0.43125803368379423
Objective-C,2017,3,90851,2017_3,0.4274814447150624
Ruby,2017,3,89830,2017_3,0.5127801773130257
C_sharp,2017,3,81610,2017_3,0.5488083231594033
TypeScript,2017,3,78161,2017_3,0.38993540958241124
Rust,2017,3,27704,2017_3,0.5724452799785148
Scala,2017,3,18821,2017_3,0.6245253832091127
Lua,2017,3,14991,2017_3,0.6668180442022403
Kotlin,2017,3,14302,2017_3,0.48972687925973835
Perl,2017,3,5402,2017_3,0.3985791278784909
R,2017,3,3116,2017_3,0.5274725274725275
Dart,2017,3,706,2017_3,0.0
JavaScript,2017,4,897827,2017_4,0.738940376154954
Python,2017,4,387338,2017_4,0.612138272845625
Java,2017,4,338614,2017_4,0.6549890168878593
Go,2017,4,240569,2017_4,0.6558928206616991
C_plus_plus,2017,4,190321,2017_4,0.6969741007941039
PHP,2017,4,142193,2017_4,0.41163502820102704
C,2017,4,122980,2017_4,0.8270740289619705
Swift,2017,4,98039,2017_4,0.4100392208562671
Ruby,2017,4,84178,2017_4,0.4613866787906342
C_sharp,2017,4,83878,2017_4,0.6090026009873135
TypeScript,2017,4,81851,2017_4,0.4231302063654846
Objective-C,2017,4,79622,2017_4,0.3626735770433899
Rust,2017,4,32753,2017_4,0.9114408486638915
Scala,2017,4,19708,2017_4,0.6868935452116439
Kotlin,2017,4,14546,2017_4,0.5018655788269241
Lua,2017,4,12185,2017_4,0.45443536179231003
Perl,2017,4,5610,2017_4,0.44953454189122977
R,2017,4,3305,2017_4,0.6105494505494505
Dart,2017,4,837,2017_4,0.0068831441782261455
JavaScript,2018,1,1016977,2018_1,0.9061999028589236
Python,2018,1,428541,2018_1,0.8474065276477172
Java,2018,1,372765,2018_1,0.7755948891447298
Go,2018,1,272572,2018_1,1.0
PHP,2018,1,254020,2018_1,1.0
C_plus_plus,2018,1,219513,2018_1,1.0
C,2018,1,130903,2018_1,0.9611077277033429
Swift,2018,1,104443,2018_1,0.4522527273326522
TypeScript,2018,1,99450,2018_1,0.5814486964970044
C_sharp,2018,1,98610,2018_1,1.0
Ruby,2018,1,79563,2018_1,0.41942259604455556
Objective-C,2018,1,79167,2018_1,0.3600475569355788
Rust,2018,1,33160,2018_1,0.9387672888411441
Scala,2018,1,19707,2018_1,0.686823231612994
Kotlin,2018,1,19068,2018_1,0.7268295109696035
Lua,2018,1,13114,2018_1,0.5247502270663034
Perl,2018,1,6037,2018_1,0.554140127388535
R,2018,1,3954,2018_1,0.8958241758241758
Dart,2018,1,1894,2018_1,0.06242118537200504
JavaScript,2018,2,811689,2018_2,0.618022196455193
