name,time,star_rank,star_normalized_rank,push_rank,push_normalized_rank,pull_rank,pull_normalized_rank,issue_rank,issue_normalized_rank
JavaScript,2016_1,1.0,5.0,1.0,8.0,1.0,7.0,1.0,1.0
Java,2016_1,2.0,9.0,3.0,10.0,3.0,10.0,3.0,12.0
Python,2016_1,3.0,12.0,2.0,12.0,2.0,12.0,2.0,6.0
Go,2016_1,4.0,16.0,9.0,13.0,7.0,16.0,8.0,16.0
Objective-C,2016_1,5.0,1.0,10.0,7.0,10.0,1.0,11.0,1.0
Swift,2016_1,6.0,1.0,11.0,9.0,12.0,9.0,12.0,11.0
PHP,2016_1,7.0,11.0,4.0,6.0,5.0,1.0,4.0,1.0
Ruby,2016_1,8.0,1.0,7.0,1.0,4.0,1.0,6.0,1.0
C_plus_plus,2016_1,9.0,14.0,5.0,15.0,6.0,13.0,5.0,7.0
C,2016_1,10.0,8.0,6.0,1.0,8.0,5.0,9.0,9.0
C_sharp,2016_1,11.0,15.0,8.0,17.0,9.0,14.0,7.0,8.0
TypeScript,2016_1,12.0,19.0,13.0,19.0,11.0,18.0,10.0,19.0
Rust,2016_1,13.0,13.0,15.0,1.0,14.0,11.0,14.0,13.0
Scala,2016_1,14.0,7.0,12.0,11.0,13.0,15.0,13.0,5.0
Lua,2016_1,15.0,6.0,14.0,1.0,16.0,6.0,15.0,14.0
Perl,2016_1,16.0,1.0,16.0,1.0,15.0,1.0,16.0,10.0
Kotlin,2016_1,17.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0
R,2016_1,18.0,10.0,17.0,14.0,17.0,8.0,17.0,15.0
Dart,2016_1,19.0,18.0,19.0,16.0,19.0,17.0,19.0,17.0
JavaScript,2016_2,1.0,6.0,1.0,3.0,1.0,1.0,1.0,4.0
Java,2016_2,2.0,7.0,3.0,5.0,3.0,8.0,3.0,10.0
Python,2016_2,3.0,13.0,2.0,8.0,2.0,11.0,2.0,8.0
Go,2016_2,4.0,17.0,9.0,14.0,7.0,16.0,9.0,15.0
Swift,2016_2,5.0,4.0,12.0,4.0,11.0,5.0,12.0,7.0
Objective-C,2016_2,6.0,5.0,11.0,1.0,13.0,9.0,11.0,2.0
C_plus_plus,2016_2,7.0,14.0,5.0,15.0,6.0,14.0,5.0,11.0
PHP,2016_2,8.0,12.0,4.0,1.0,4.0,2.0,4.0,5.0
C,2016_2,9.0,1.0,6.0,6.0,8.0,4.0,8.0,1.0
Ruby,2016_2,10.0,8.0,7.0,11.0,5.0,12.0,7.0,3.0
C_sharp,2016_2,11.0,15.0,8.0,16.0,9.0,13.0,6.0,9.0
TypeScript,2016_2,12.0,16.0,10.0,19.0,10.0,17.0,10.0,17.0
Rust,2016_2,13.0,11.0,14.0,9.0,14.0,10.0,14.0,14.0
Scala,2016_2,14.0,1.0,13.0,13.0,12.0,15.0,13.0,6.0
Lua,2016_2,15.0,10.0,15.0,10.0,16.0,7.0,15.0,13.0
Perl,2016_2,16.0,9.0,16.0,7.0,15.0,3.0,16.0,12.0
Kotlin,2016_2,17.0,19.0,18.0,18.0,18.0,18.0,17.0,18.0
R,2016_2,18.0,1.0,17.0,12.0,17.0,6.0,18.0,16.0
Dart,2016_2,19.0,18.0,19.0,17.0,19.0,19.0,19.0,19.0
